opeid8	mode	provider	time	demog_pop_18_to_64_latinx	demog_pop_18_to_64_white	demog_pop_18_to_64_black	demog_pop_18_to_64_all
1114511	drive	mapbox	60	1476318.05558311309103627265062490	1459191.89891474511924730042693214	725218.44870518778579115817804220	4054729.65977040843866296973312222
1114511	transit	otp	60	150050.8350393029552857593	58043.1006858896015078663	76747.0706961714220652921	302822.4683408288441673011
1114512	walk	otp	60	20670.6013719481883020952	4648.2696645949417471499	16875.7231245878244956527	43932.3114687932853508114
1114512	drive	mapbox	60	1458664.49116041880171747945423790	1409320.45770344654448134307908514	716702.62037493179690129926709220	3976685.47398333376350746346284822
1114512	transit	otp	60	144226.6402305235682836983	55865.7803620967910851402	47289.4821732023229772928	260623.3177437952883424604
1114516	walk	otp	60	11847.200578709867401746	2707.353818385759855792	9690.558953774934874308	25104.838722198078763450
1114516	drive	mapbox	60	1462525.62599303727116097109682490	1434732.27089216556399134357284214	719168.00909168838974254146124220	4008345.94769330600657040763189222
1114516	transit	otp	60	39336.7402572806030901351	10543.9049662967704354929	27762.4791757676133725261	81072.9365630623294763113
1114518	walk	otp	60	8220.1144965028804626959	35687.3705674782599054873	13291.3233915285123810242	71524.7894343670192773243
1114518	drive	mapbox	60	1472304.96163540899013611273051590	1403428.87618750804382783076278214	723358.36179646500406067425187620	3992047.17436346929350263780115222
1114518	transit	otp	60	186546.1945552670099004381	168383.3530242436032080583	126135.3079071422795287529	535906.3626791897706673443
1114523	walk	otp	60	1197.521002979063552718372	2697.475429554648593166890	327.922491490045359915717	4588.920013353133111839833
1114523	drive	mapbox	60	1216924.52699550612562841295204790	1067005.21469162690292123266837714	558187.43394396759541954649385820	3101471.50618714132236183823362422
1114523	transit	otp	60	1197.521002979063552718372	2697.475429554648593166890	327.922491490045359915717	4588.920013353133111839833
1114524	walk	otp	60	3283.4362485748859581790	3518.0902654426856997196	3404.1630911435314311593	10553.9497061409446326348
1114524	drive	mapbox	60	1455651.34336482669969885895574190	1425610.43825397603406091270368714	716429.77297397135901592259216420	3987321.61881254088851726978270622
1114524	transit	otp	60	3283.4362485748859581790	3518.0902654426856997196	3404.1630911435314311593	10553.9497061409446326348
1114525	walk	otp	60	6970.5550018148814056334	3477.7490682999445750464	1396.7876578931168219334	13573.2739082757802575088
1114525	drive	mapbox	60	1456766.25264490262099635984337590	1394202.69252011113185064477532214	712449.12207077551144092768326020	3954186.56567357699651150061536022
1114525	transit	otp	60	52995.9145906277642955891	22273.6170261719981025996	6796.2412727928988331945	88891.5186568707198746067
